id,title,stage,stage_name,goals,formats,psychology,sources,principle,actions,metrics,keywords,related_strategies,path,relationship_focus,safety_boundary
IGS-S2-02,在 Bio 和账号名称中放搜索关键词,S2,主页可信与安全感策略,发现合适陌生人；降低陌生防备；形成可信专业感,Bio 策略,提升专业感；提升持续关注理由,HOOTSUITE_INSTAGRAM_RESOURCES；BUFFER_INSTAGRAM；GOOGLE_SKILLSHOP_DIGITAL_MARKETING,陌生人点进主页时，会先判断你是否真实、安全、值得回应。社交搜索会读取账号名称、Bio、字幕和标题；关键词能帮对的人更快找到你。执行时只把它当作建立熟悉感和互相信任的入口，不把对方当作被推进的对象。,把对方会搜索的 3 个词放进名称或 Bio，例如“亲子英语 / 儿童内容 / IG 增长”。；避免只写账号名而没有品类词，新账号尤其需要描述性关键词。；在置顶帖标题、Reels 字幕和 Highlights 名称中重复核心关键词。；边界要求：必须真实透明、尊重对方选择；不伪装身份、不套取隐私、不制造虚假亲密或焦虑，对方冷淡、拒绝或沉默时停止推进。,搜索曝光；主页访问来源；关键词相关私信；对方主动回应率；重复互动率,Instagram SEO；关键词；Bio 搜索；主页被发现；认识陌生人；成为朋友；建立信任；真诚互动,IGS-S1-03；IGS-S3-09；IGS-S2-05；IGS-S8-02,cards/IGS-S2-02.md,用于在社交平台上认识合适的陌生人，通过公开互动、真诚倾听和小范围互助，逐步成为朋友并赢得长期信任。,必须真实透明、尊重对方选择；不伪装身份、不套取隐私、不制造虚假亲密或焦虑，对方冷淡、拒绝或沉默时停止推进。
IGS-S2-03,统一头像、封面和视觉识别,S2,主页可信与安全感策略,提升主页可信感；降低陌生防备；形成可信专业感,Bio 策略；Highlights 策略；Carousel 策略,降低怀疑感；提升专业感；提升真实感,CANVA_SOCIAL_MEDIA_MASTERY；COURSERA_DIGITAL_MARKETING_CANVA；HUBSPOT_INSTAGRAM,陌生人点进主页时，会先判断你是否真实、安全、值得回应。视觉一致性会降低陌生账号的不确定感，尤其当对方从 Reels 点进主页时。执行时只把它当作建立熟悉感和互相信任的入口，不把对方当作被推进的对象。,固定头像风格、3 个主色、2 种字体、封面布局和按钮样式。；用 Canva 建一个账号模板库：Reels 封面、Carousel 封面、Story 背景、小资源封面。；每次发内容前检查缩略图在主页九宫格中是否能被快速理解。；边界要求：必须真实透明、尊重对方选择；不伪装身份、不套取隐私、不制造虚假亲密或焦虑，对方冷淡、拒绝或沉默时停止推进。,主页停留时长；置顶内容点击率；视觉模板复用率；对方主动回应率；重复互动率,视觉一致性；Canva；主页信任；账号识别；认识陌生人；成为朋友；建立信任；真诚互动,IGS-S1-07；IGS-S3-09；IGS-S2-06；IGS-S8-05,cards/IGS-S2-03.md,用于在社交平台上认识合适的陌生人，通过公开互动、真诚倾听和小范围互助，逐步成为朋友并赢得长期信任。,必须真实透明、尊重对方选择；不伪装身份、不套取隐私、不制造虚假亲密或焦虑，对方冷淡、拒绝或沉默时停止推进。
IGS-S2-04,把 Highlights 设计成信任货架,S2,主页可信与安全感策略,提升主页可信感；降低陌生防备；提供小帮助,Highlights 策略；Story 策略；资源互助策略,降低怀疑感；提升安全感；提升真实感,HUBSPOT_INSTAGRAM；HOOTSUITE_INSTAGRAM_RESOURCES；STORYBRAND,陌生人点进主页时，会先判断你是否真实、安全、值得回应。Highlights 能把临时 Story 变成长期主页资产，承担“了解你、相信你、开始行动”的功能。执行时只把它当作建立熟悉感和互相信任的入口，不把对方当作被推进的对象。,设置 5 个固定栏目：Start、案例、幕后、FAQ、小资源。；每个 Highlight 第一张用封面说明对方能得到什么，而不是只写内部分类名。；每月删除过时 Story，把高回复 Story 加入对应栏目。；边界要求：必须真实透明、尊重对方选择；不伪装身份、不套取隐私、不制造虚假亲密或焦虑，对方冷淡、拒绝或沉默时停止推进。,Highlight 打开率；FAQ 后私信率；小资源 Highlight 点击率；对方主动回应率；重复互动率,Highlights；主页信任；FAQ；小资源入口；认识陌生人；成为朋友；建立信任；真诚互动,IGS-S1-06；IGS-S3-05；IGS-S2-09；IGS-S6-09,cards/IGS-S2-04.md,用于在社交平台上认识合适的陌生人，通过公开互动、真诚倾听和小范围互助，逐步成为朋友并赢得长期信任。,必须真实透明、尊重对方选择；不伪装身份、不套取隐私、不制造虚假亲密或焦虑，对方冷淡、拒绝或沉默时停止推进。
IGS-S2-05,用 3 条置顶帖完成主页导览,S2,主页可信与安全感策略,提升主页可信感；降低陌生防备；形成可信专业感,Carousel 策略；Reels 策略；Bio 策略,降低陌生感；提升专业感；提升持续关注理由,SPROUT_INSTAGRAM_STRATEGY；BUFFER_INSTAGRAM；STORYBRAND,陌生人点进主页时，会先判断你是否真实、安全、值得回应。置顶帖要像店门口的导览牌，帮助新访客快速判断是否值得关注。执行时只把它当作建立熟悉感和互相信任的入口，不把对方当作被推进的对象。,置顶 1：你是谁和想认识谁、能帮谁；置顶 2：最强实用教程；置顶 3：案例或成果证明。；每条置顶帖结尾都指向下一步：关注、看 Highlight、评论关键词或私信。；如果置顶帖 60 天内不再代表当前账号定位，就更新。；边界要求：必须真实透明、尊重对方选择；不伪装身份、不套取隐私、不制造虚假亲密或焦虑，对方冷淡、拒绝或沉默时停止推进。,置顶帖互动率；置顶帖到关注关系推进；置顶帖带来的私信；对方主动回应率；重复互动率,置顶帖；主页导览；关注关系推进；Start here；认识陌生人；成为朋友；建立信任；真诚互动,IGS-S1-07；IGS-S3-09；IGS-S2-06；IGS-S9-08,cards/IGS-S2-05.md,用于在社交平台上认识合适的陌生人，通过公开互动、真诚倾听和小范围互助，逐步成为朋友并赢得长期信任。,必须真实透明、尊重对方选择；不伪装身份、不套取隐私、不制造虚假亲密或焦虑，对方冷淡、拒绝或沉默时停止推进。
IGS-S2-06,把社会认同放在主页可见处,S2,主页可信与安全感策略,提升主页可信感；降低陌生防备；形成可信专业感,Highlights 策略；Bio 策略；Carousel 策略,降低怀疑感；提升专业感；提升安全感,CIALDINI_INFLUENCE；HUBSPOT_INSTAGRAM；SPROUT_INSTAGRAM_STRATEGY,陌生人点进主页时，会先判断你是否真实、安全、值得回应。陌生人会用他人的反馈判断风险；社会认同要具体、真实、可核验。执行时只把它当作建立熟悉感和互相信任的入口，不把对方当作被推进的对象。,收集对方结果、评论截图、合作记录、媒体或证书，但避免夸大承诺。；做成“结果/反馈/案例”Highlight，并在置顶帖解释背景和过程。；用具体前后变化替代空泛好评，例如“从不敢评论到连续 7 天发 Story”。；边界要求：必须真实透明、尊重对方选择；不伪装身份、不套取隐私、不制造虚假亲密或焦虑，对方冷淡、拒绝或沉默时停止推进。,案例 Highlight 查看率；主页关注关系推进率；进一步交流时信任问题减少；对方主动回应率；重复互动率,社会认同；案例；对方反馈；主页信任；认识陌生人；成为朋友；建立信任；真诚互动,IGS-S1-08；IGS-S3-05；IGS-S2-03；IGS-S8-05,cards/IGS-S2-06.md,用于在社交平台上认识合适的陌生人，通过公开互动、真诚倾听和小范围互助，逐步成为朋友并赢得长期信任。,必须真实透明、尊重对方选择；不伪装身份、不套取隐私、不制造虚假亲密或焦虑，对方冷淡、拒绝或沉默时停止推进。
IGS-S2-07,降低联系和链接摩擦,S2,主页可信与安全感策略,开启私信对话；提供小帮助；降低陌生防备,Bio 策略；私信策略；资源互助策略,提升安全感；降低陌生感；提升互惠感,META_BLUEPRINT；HOOTSUITE_INSTAGRAM_RESOURCES；GOOGLE_SKILLSHOP_DIGITAL_MARKETING,陌生人点进主页时，会先判断你是否真实、安全、值得回应。对方愿意行动时，不应被复杂入口、失效链接或模糊 CTA 卡住。执行时只把它当作建立熟悉感和互相信任的入口，不把对方当作被推进的对象。,检查联系方式、Bio 链接、小资源领取路径、表单字段和自动回复是否可用。；每个入口只承诺一个动作，例如“评论 PLAN 领取模板”。；手机端亲自走一遍从主页到领取的流程，删掉不必要步骤。；边界要求：必须真实透明、尊重对方选择；不伪装身份、不套取隐私、不制造虚假亲密或焦虑，对方冷淡、拒绝或沉默时停止推进。,Bio 链接点击率；小资源领取完成率；入口报错次数；对方主动回应率；重复互动率,链接优化；CTA；领取路径；主页关系推进；认识陌生人；成为朋友；建立信任；真诚互动,IGS-S1-06；IGS-S3-07；IGS-S2-09；IGS-S6-03,cards/IGS-S2-07.md,用于在社交平台上认识合适的陌生人，通过公开互动、真诚倾听和小范围互助，逐步成为朋友并赢得长期信任。,必须真实透明、尊重对方选择；不伪装身份、不套取隐私、不制造虚假亲密或焦虑，对方冷淡、拒绝或沉默时停止推进。
IGS-S2-08,制作 Start Here 新手导览,S2,主页可信与安全感策略,提升主页可信感；降低陌生防备；建立长期朋友关系,Highlights 策略；Carousel 策略；Story 策略,降低陌生感；提升安全感；提升持续关注理由,LATER_INSTAGRAM_GUIDES；HOOTSUITE_INSTAGRAM_RESOURCES；STORYBRAND,陌生人点进主页时，会先判断你是否真实、安全、值得回应。新访客需要被带路；一个清楚的 Start Here 能把碎片内容串成路径。执行时只把它当作建立熟悉感和互相信任的入口，不把对方当作被推进的对象。,做一条 6-8 页 Carousel：你适合谁、先看什么、常见问题、下一步。；把它置顶，并拆成 Story 加入 Start Highlight。；每次账号定位调整后同步更新导览，避免旧内容误导新认识的人。；边界要求：必须真实透明、尊重对方选择；不伪装身份、不套取隐私、不制造虚假亲密或焦虑，对方冷淡、拒绝或沉默时停止推进。,Start Here 完读率；导览后关注率；导览后私信率；对方主动回应率；重复互动率,Start Here；新手导览；主页路径；新认识的人；认识陌生人；成为朋友；建立信任；真诚互动,IGS-S1-08；IGS-S3-05；IGS-S2-04；IGS-S7-03,cards/IGS-S2-08.md,用于在社交平台上认识合适的陌生人，通过公开互动、真诚倾听和小范围互助，逐步成为朋友并赢得长期信任。,必须真实透明、尊重对方选择；不伪装身份、不套取隐私、不制造虚假亲密或焦虑，对方冷淡、拒绝或沉默时停止推进。
IGS-S2-09,做主页风险感审计,S2,主页可信与安全感策略,提升主页可信感；降低陌生防备；开启私信对话,Bio 策略；Highlights 策略；私信策略,降低怀疑感；提升安全感；提升真实感,NONVIOLENT_COMMUNICATION；CXL_INSTITUTE；META_BLUEPRINT,陌生人点进主页时，会先判断你是否真实、安全、值得回应。主页上的夸张承诺、信息缺口和不一致视觉都会放大对方风险感。执行时只把它当作建立熟悉感和互相信任的入口，不把对方当作被推进的对象。,从陌生访客视角检查 5 件事：我知道你是谁吗、信任你吗、知道下一步吗、担心被推销吗、能退出吗。；把高压话术改成选择式 CTA，例如“想要模板可以评论关键词”。；删掉无法证明的绝对化承诺，把证据和边界讲清楚。；边界要求：必须真实透明、尊重对方选择；不伪装身份、不套取隐私、不制造虚假亲密或焦虑，对方冷淡、拒绝或沉默时停止推进。,主页跳出率；私信拒绝率；对方提出的信任顾虑数量；对方主动回应率；重复互动率,风险感；主页审计；低压力 CTA；安全感；认识陌生人；成为朋友；建立信任；真诚互动,IGS-S1-05；IGS-S3-05；IGS-S2-06；IGS-S5-05,cards/IGS-S2-09.md,用于在社交平台上认识合适的陌生人，通过公开互动、真诚倾听和小范围互助，逐步成为朋友并赢得长期信任。,必须真实透明、尊重对方选择；不伪装身份、不套取隐私、不制造虚假亲密或焦虑，对方冷淡、拒绝或沉默时停止推进。
IGS-S3-01,Reels 前 3 秒放强钩子,S3,内容吸引与共同兴趣策略,发现合适陌生人；降低陌生防备；形成可信专业感,Reels 策略,提升参与感；提升专业感；提升持续关注理由,INSTAGRAM_BEST_PRACTICES；HOOTSUITE_INSTAGRAM_RESOURCES；MADE_TO_STICK,内容不是单向表演，而是让有共同兴趣的人看见你、愿意回应你的入口。Reels 的观看时长和完播会影响触达；开头必须立即说明为什么值得继续看。执行时只把它当作建立熟悉感和互相信任的入口，不把对方当作被推进的对象。,用结果、反常识、错误纠正、清单或场景冲突开头。；第一屏同时出现口播、字幕和画面动作，降低静音观看损失。；每周复盘前 3 秒流失点，把低 retention 的开头改写再测。；边界要求：必须真实透明、尊重对方选择；不伪装身份、不套取隐私、不制造虚假亲密或焦虑，对方冷淡、拒绝或沉默时停止推进。,3 秒留存率；平均观看时长；分享率；主页访问率；对方主动回应率,Reels；钩子；前3秒；留存；触达；认识陌生人；成为朋友；建立信任；真诚互动,IGS-S2-02；IGS-S4-05；IGS-S3-09；IGS-S8-02,cards/IGS-S3-01.md,用于在社交平台上认识合适的陌生人，通过公开互动、真诚倾听和小范围互助，逐步成为朋友并赢得长期信任。,必须真实透明、尊重对方选择；不伪装身份、不套取隐私、不制造虚假亲密或焦虑，对方冷淡、拒绝或沉默时停止推进。
IGS-S3-02,坚持原创、字幕、音频和清晰封面,S3,内容吸引与共同兴趣策略,发现合适陌生人；提升主页可信感；形成可信专业感,Reels 策略,提升专业感；提升真实感；提升安全感,INSTAGRAM_BEST_PRACTICES；HOOTSUITE_INSTAGRAM_RESOURCES；COURSERA_DIGITAL_MARKETING_CANVA,内容不是单向表演，而是让有共同兴趣的人看见你、愿意回应你的入口。平台建议创作者使用原创、无水印、可理解的短视频；字幕和封面会影响理解与点击。执行时只把它当作建立熟悉感和互相信任的入口，不把对方当作被推进的对象。,避免搬运带其他平台水印的视频，优先录制或重新剪辑为 Instagram 原生感内容。；给每条 Reel 加字幕、标题封面、关键词 caption 和相关地点或协作者标签。；封面只表达一个信息：这条视频解决什么问题。；边界要求：必须真实透明、尊重对方选择；不伪装身份、不套取隐私、不制造虚假亲密或焦虑，对方冷淡、拒绝或沉默时停止推进。,推荐触达；封面点击率；字幕开启后的完播率；对方主动回应率；重复互动率,原创内容；Reels 字幕；封面；无水印；认识陌生人；成为朋友；建立信任；真诚互动,IGS-S2-03；IGS-S4-04；IGS-S3-06,cards/IGS-S3-02.md,用于在社交平台上认识合适的陌生人，通过公开互动、真诚倾听和小范围互助，逐步成为朋友并赢得长期信任。,必须真实透明、尊重对方选择；不伪装身份、不套取隐私、不制造虚假亲密或焦虑，对方冷淡、拒绝或沉默时停止推进。
