source,target,relation,reason
strategy:IGS-S8-01,strategy:IGS-S7-05,depends_on,承接上一阶段 S7 的定位、信任或互动基础
strategy:IGS-S8-01,strategy:IGS-S9-07,continues_to,可继续推进到下一阶段 S9
strategy:IGS-S8-01,strategy:IGS-S8-G16,reinforces,同阶段内目标、内容形式或用户心理相互增强
strategy:IGS-S8-02,strategy:IGS-S7-05,depends_on,承接上一阶段 S7 的定位、信任或互动基础
strategy:IGS-S8-02,strategy:IGS-S9-02,continues_to,可继续推进到下一阶段 S9
strategy:IGS-S8-02,strategy:IGS-S8-08,reinforces,同阶段内目标、内容形式或用户心理相互增强
strategy:IGS-S8-02,strategy:IGS-S3-01,same_source_family,来自相近资料来源，可作为同一方法论的延伸
strategy:IGS-S8-03,strategy:IGS-S7-05,depends_on,承接上一阶段 S7 的定位、信任或互动基础
strategy:IGS-S8-03,strategy:IGS-S9-04,continues_to,可继续推进到下一阶段 S9
strategy:IGS-S8-03,strategy:IGS-S8-08,reinforces,同阶段内目标、内容形式或用户心理相互增强
strategy:IGS-S8-03,strategy:IGS-S3-03,same_source_family,来自相近资料来源，可作为同一方法论的延伸
strategy:IGS-S8-04,strategy:IGS-S7-G19,depends_on,承接上一阶段 S7 的定位、信任或互动基础
strategy:IGS-S8-04,strategy:IGS-S9-06,continues_to,可继续推进到下一阶段 S9
strategy:IGS-S8-04,strategy:IGS-S8-G24,reinforces,同阶段内目标、内容形式或用户心理相互增强
strategy:IGS-S8-04,strategy:IGS-S3-07,same_source_family,来自相近资料来源，可作为同一方法论的延伸
strategy:IGS-S8-05,strategy:IGS-S7-08,depends_on,承接上一阶段 S7 的定位、信任或互动基础
strategy:IGS-S8-05,strategy:IGS-S9-03,continues_to,可继续推进到下一阶段 S9
strategy:IGS-S8-05,strategy:IGS-S8-03,reinforces,同阶段内目标、内容形式或用户心理相互增强
strategy:IGS-S8-05,strategy:IGS-S2-06,same_source_family,来自相近资料来源，可作为同一方法论的延伸
strategy:IGS-S8-06,strategy:IGS-S7-07,depends_on,承接上一阶段 S7 的定位、信任或互动基础
strategy:IGS-S8-06,strategy:IGS-S9-06,continues_to,可继续推进到下一阶段 S9
strategy:IGS-S8-06,strategy:IGS-S8-07,reinforces,同阶段内目标、内容形式或用户心理相互增强
strategy:IGS-S8-06,strategy:IGS-S1-06,same_source_family,来自相近资料来源，可作为同一方法论的延伸
strategy:IGS-S8-07,strategy:IGS-S7-07,depends_on,承接上一阶段 S7 的定位、信任或互动基础
strategy:IGS-S8-07,strategy:IGS-S9-05,continues_to,可继续推进到下一阶段 S9
strategy:IGS-S8-07,strategy:IGS-S8-06,reinforces,同阶段内目标、内容形式或用户心理相互增强
strategy:IGS-S8-08,strategy:IGS-S7-01,depends_on,承接上一阶段 S7 的定位、信任或互动基础
strategy:IGS-S8-08,strategy:IGS-S9-04,continues_to,可继续推进到下一阶段 S9
strategy:IGS-S8-08,strategy:IGS-S8-03,reinforces,同阶段内目标、内容形式或用户心理相互增强
strategy:IGS-S8-08,strategy:IGS-S4-05,same_source_family,来自相近资料来源，可作为同一方法论的延伸
strategy:IGS-S8-09,strategy:IGS-S7-05,depends_on,承接上一阶段 S7 的定位、信任或互动基础
strategy:IGS-S8-09,strategy:IGS-S9-09,continues_to,可继续推进到下一阶段 S9
strategy:IGS-S8-09,strategy:IGS-S8-08,reinforces,同阶段内目标、内容形式或用户心理相互增强
strategy:IGS-S9-01,strategy:IGS-S8-09,depends_on,承接上一阶段 S8 的定位、信任或互动基础
strategy:IGS-S9-01,strategy:IGS-S9-09,reinforces,同阶段内目标、内容形式或用户心理相互增强
strategy:IGS-S9-01,strategy:IGS-S9-G01,same_source_family,来自相近资料来源，可作为同一方法论的延伸
strategy:IGS-S9-02,strategy:IGS-S8-09,depends_on,承接上一阶段 S8 的定位、信任或互动基础
strategy:IGS-S9-02,strategy:IGS-S9-09,reinforces,同阶段内目标、内容形式或用户心理相互增强
strategy:IGS-S9-02,strategy:IGS-S3-06,same_source_family,来自相近资料来源，可作为同一方法论的延伸
strategy:IGS-S9-03,strategy:IGS-S8-05,depends_on,承接上一阶段 S8 的定位、信任或互动基础
strategy:IGS-S9-03,strategy:IGS-S9-08,reinforces,同阶段内目标、内容形式或用户心理相互增强
